name;n;swaps;compares;time;swaps_n;compares_n;
dual;100;291;530;0.0004214;29.1;53;
dual;200;609;1447;0.0008973;30.45;72.35;
dual;300;1092;2234;0.0011236;36.4;74.4667;
dual;400;1499;3460;0.0016029;37.475;86.5;
dual;500;2070;4004;0.002227;41.4;80.08;
dual;600;2066;5011;0.0020363;34.4333;83.5167;
dual;700;2878;6260;0.0029712;41.1143;89.4286;
dual;800;3304;7235;0.0034165;41.3;90.4375;
dual;900;3982;8364;0.0035635;44.2444;92.9333;
dual;1000;3786;10217;0.0039987;37.86;102.17;
dual;1100;4003;12172;0.005244;36.3909;110.655;
dual;1200;4660;11784;0.0054764;38.8333;98.2;
dual;1300;5843;13768;0.006238;44.9462;105.908;
dual;1400;6305;15204;0.0068315;45.0357;108.6;
dual;1500;7666;14539;0.0067303;51.1067;96.9267;
dual;1600;6710;16929;0.0070307;41.9375;105.806;
dual;1700;8366;17955;0.008237;49.2118;105.618;
dual;1800;7326;18900;0.0084843;40.7039;105.003;
dual;1900;10713;22385;0.009747;56.3842;117.816;
dual;2000;9862;20970;0.0094081;49.31;104.85;
dual;2100;8094;21857;0.0102403;38.5429;104.081;
dual;2200;10585;23879;0.0111133;48.1136;108.541;
dual;2300;11239;26308;0.0118085;48.8652;114.383;
dual;2400;9614;25859;0.0115333;40.0583;107.746;
dual;2500;11038;27153;0.0124619;44.152;108.612;
dual;2600;10380;28677;0.0132137;39.9231;110.296;
dual;2700;13279;30706;0.0142417;49.1844;113.728;
dual;2800;11882;31979;0.0140302;42.4357;114.211;
dual;2900;12842;32680;0.0146214;44.2828;112.69;
dual;3000;13595;37858;0.016531;45.3167;126.193;
dual;3100;13005;33975;0.0155477;41.9516;109.597;
dual;3200;14210;35919;0.0166566;44.4062;112.247;
dual;3300;16883;40414;0.0180936;51.1624;122.467;
dual;3400;16948;37829;0.0176292;49.8471;111.262;
dual;3500;14182;39393;0.0174345;40.52;112.551;
dual;3600;17288;41406;0.0202648;48.0222;115.017;
dual;3700;17033;42514;0.0187883;46.0351;114.903;
dual;3800;18392;43304;0.019539;48.4;113.958;
dual;3900;16169;46380;0.0210637;41.4605;118.924;
dual;4000;19235;48537;0.0213469;48.0875;121.343;
dual;4100;18591;46882;0.0207406;45.3439;114.346;
dual;4200;21877;50687;0.0226908;52.0881;120.683;
dual;4300;21147;53536;0.0235229;49.1793;124.504;
dual;4400;21980;50693;0.0245735;49.9545;115.211;
dual;4500;25666;52677;0.0185159;57.0356;117.06;
dual;4600;23052;56355;0.0181268;50.113;122.511;
dual;4700;21999;59062;0.0266652;46.8064;125.664;
dual;4800;24580;59195;0.0279102;51.2098;123.324;
dual;4900;23799;58042;0.0279562;48.5694;118.453;
dual;5000;24337;62422;0.0279631;48.674;124.844;
dual;5100;27132;63860;0.0287848;53.2;125.217;
dual;5200;27687;65130;0.0298374;53.2442;125.25;
dual;5300;27990;67619;0.0293545;52.8113;127.583;
dual;5400;30019;69714;0.0318225;55.5919;129.101;
dual;5500;28253;66771;0.0307791;51.3691;121.402;
dual;5600;32550;74627;0.0339154;58.125;133.262;
dual;5700;31734;72730;0.0332771;55.6747;127.598;
dual;5800;27955;70824;0.0318433;48.1983;122.11;
dual;5900;27930;73958;0.0321437;47.339;125.353;
dual;6000;28532;73669;0.0323168;47.5533;122.782;
dual;6100;32374;76326;0.0332109;53.0721;125.126;
dual;6200;37105;83958;0.0374731;59.8468;135.416;
dual;6300;33328;82585;0.0378992;52.9027;131.088;
dual;6400;28754;82725;0.0388039;44.9281;129.258;
dual;6500;30080;86666;0.0390443;46.2769;133.332;
dual;6600;34194;83582;0.0375951;51.8097;126.64;
dual;6700;37362;84097;0.0367259;55.7642;125.518;
dual;6800;38179;83737;0.0351714;56.1456;123.143;
dual;6900;36384;89843;0.0388231;52.7307;130.207;
dual;7000;37868;90169;0.0397749;54.0971;128.813;
dual;7100;37487;92214;0.040038;52.7993;129.88;
dual;7200;36117;92969;0.0403361;50.1625;129.124;
dual;7300;39564;95809;0.0412643;54.1973;131.245;
dual;7400;38301;97994;0.0423827;51.7588;132.425;
dual;7500;39476;98473;0.0445332;52.6347;131.297;
dual;7600;38997;98270;0.0390323;51.312;129.304;
dual;7700;36209;107766;0.0423245;47.0247;139.956;
dual;7800;44123;99755;0.0420778;56.5682;127.891;
dual;7900;41524;101950;0.0445504;52.562;129.051;
dual;8000;48056;108391;0.0474089;60.0711;135.49;
dual;8100;38527;106786;0.047067;47.5642;131.835;
dual;8200;44670;104908;0.0463887;54.4756;127.937;
dual;8300;52003;126277;0.0514518;62.6552;152.142;
dual;8400;50526;109015;0.048063;60.15;129.78;
dual;8500;46456;112209;0.0496773;54.6551;132.012;
dual;8600;45598;109336;0.0487471;53.0209;127.135;
dual;8700;45086;116087;0.0501407;51.8236;133.434;
dual;8800;49168;116035;0.0515572;55.8727;131.858;
dual;8900;49028;123819;0.0540247;55.0878;139.122;
dual;9000;51500;121645;0.0539941;57.2231;135.162;
dual;9100;55433;120180;0.0540886;60.9154;132.066;
dual;9200;52084;123124;0.0544682;56.6136;133.831;
dual;9300;49940;126146;0.0544328;53.6989;135.641;
dual;9400;50854;124500;0.054215;54.1004;132.448;
dual;9500;51974;125869;0.0561819;54.7095;132.494;
dual;9600;51033;129840;0.056672;53.1594;135.25;
dual;9700;58059;131207;0.0593545;59.8546;135.265;
dual;9800;49838;128859;0.060258;50.8556;131.49;
dual;9900;58519;134747;0.059316;59.1108;136.109;
dual;10000;59773;140575;0.0602218;59.773;140.575;
