name;n;swaps_insert;compares_insert;time_insert;swaps_n_insert;compares_n_insert;
insert;100;2346;2446;0.0028442;117.3;122.3;
insert;200;10024;10225;0.0075822;250.6;255.625;
insert;300;21847;22151;0.0206882;364.117;369.183;
insert;400;40246;40652;0.0295928;503.075;508.15;
insert;500;60648;61158;0.0392152;606.48;611.58;
insert;600;88745;89365;0.0697602;739.548;744.713;
insert;700;120671;121393;0.10768;861.936;867.093;
insert;800;158207;159039;0.120294;988.795;993.995;
insert;900;197825;198768;0.154722;1099.03;1104.27;
insert;1000;256846;257903;0.207266;1284.23;1289.52;
insert;1100;304250;305410;0.23994;1382.96;1388.23;
insert;1200;367090;368369;0.281725;1529.54;1534.87;
insert;1300;420084;421459;0.332686;1615.71;1621;
insert;1400;482869;484364;0.368076;1724.53;1729.87;
insert;1500;563871;565491;0.390455;1879.57;1884.97;
insert;1600;637891;639610;0.652369;1993.41;1998.78;
insert;1700;729806;731629;0.587895;2146.49;2151.85;
insert;1800;808158;810109;0.597868;2244.88;2250.3;
insert;1900;914162;916252;0.646476;2405.69;2411.19;
insert;2000;1006587;1008796;0.717706;2516.47;2521.99;
insert;2100;1100364;1102694;0.765058;2619.92;2625.46;
insert;2200;1192234;1194671;0.83614;2709.62;2715.16;
insert;2300;1331158;1333724;0.95433;2893.82;2899.4;
insert;2400;1443957;1446664;0.985186;3008.24;3013.88;
insert;2500;1563269;1566093;1.08851;3126.54;3132.19;
insert;2600;1693007;1695958;1.19121;3255.78;3261.46;
insert;2700;1809547;1812611;1.29947;3351.01;3356.69;
insert;2800;1943255;1946456;1.49871;3470.1;3475.82;
insert;2900;2100564;2103874;1.63473;3621.66;3627.37;
insert;3000;2243471;2246921;1.537;3739.12;3744.87;
insert;3100;2398592;2402179;1.60427;3868.7;3874.48;
insert;3200;2561923;2565641;1.6933;4003.01;4008.82;
insert;3300;2726122;2729958;1.8665;4130.49;4136.3;
insert;3400;2888129;2892117;1.96053;4247.25;4253.11;
insert;3500;3065688;3069791;2.06218;4379.56;4385.42;
insert;3600;3249068;3253342;2.17915;4512.59;4518.53;
insert;3700;3419417;3423812;2.37523;4620.83;4626.77;
insert;3800;3593104;3597631;2.70477;4727.77;4733.73;
insert;3900;3817457;3822124;2.89303;4894.18;4900.16;
insert;4000;4016374;4021169;2.83515;5020.47;5026.46;
insert;4100;4206192;4211131;2.91869;5129.5;5135.53;
insert;4200;4433556;4438640;3.54819;5278.04;5284.1;
insert;4300;4626952;4632176;4.23929;5380.18;5386.25;
insert;4400;4886280;4891631;3.58719;5552.59;5558.67;
insert;4500;5063769;5069290;3.29856;5626.41;5632.54;
insert;4600;5270608;5276240;3.41901;5728.92;5735.04;
insert;4700;5541216;5547035;3.59517;5894.91;5901.1;
insert;4800;5728541;5734514;3.71657;5967.23;5973.45;
insert;4900;6013499;6019583;3.87079;6136.22;6142.43;
insert;5000;6242029;6248290;4.02375;6242.03;6248.29;
insert;5100;6531132;6537523;4.2383;6403.07;6409.34;
insert;5200;6747484;6754051;4.38083;6487.97;6494.28;
insert;5300;7023233;7029899;4.54886;6625.69;6631.98;
insert;5400;7330398;7337248;4.74969;6787.41;6793.75;
insert;5500;7570984;7577995;4.89512;6882.71;6889.09;
insert;5600;7813035;7820195;5.06652;6975.92;6982.32;
insert;5700;8126405;8133723;5.25764;7128.43;7134.84;
insert;5800;8415877;8423344;5.52039;7255.07;7261.5;
insert;5900;8710314;8717941;5.70517;7381.62;7388.09;
insert;6000;9015022;9022836;5.86352;7512.52;7519.03;
insert;6100;9247866;9255853;6.05701;7580.22;7586.77;
insert;6200;9601035;9609173;6.2733;7742.77;7749.33;
insert;6300;9918250;9926493;6.49951;7871.63;7878.17;
insert;6400;10189251;10197715;6.70091;7960.35;7966.97;
insert;6500;10540267;10548873;6.9336;8107.9;8114.52;
insert;6600;10947447;10956205;7.22208;8293.52;8300.16;
insert;6700;11154440;11163386;7.24042;8324.21;8330.89;
insert;6800;11578273;11587383;7.48825;8513.44;8520.13;
insert;6900;11885225;11894527;7.68595;8612.48;8619.22;
insert;7000;12312042;12321509;7.95834;8794.32;8801.08;
insert;7100;12608267;12617858;8.17219;8879.06;8885.82;
insert;7200;12976160;12985949;8.41108;9011.22;9018.02;
insert;7300;13311122;13321069;8.60127;9117.21;9124.02;
insert;7400;13632515;13642633;8.83126;9211.16;9218;
insert;7500;13996860;14007183;9.05801;9331.24;9338.12;
insert;7600;14388305;14398800;9.46579;9465.99;9472.89;
insert;7700;14844906;14855550;11.9954;9639.55;9646.46;
insert;7800;15254924;15265819;10.2478;9778.8;9785.78;
insert;7900;15541808;15552826;10.2011;9836.59;9843.56;
insert;8000;15965819;15977046;10.4407;9978.64;9985.65;
insert;8100;16385453;16396827;11.0248;10114.5;10121.5;
insert;8200;16807044;16818619;11.9307;10248.2;10255.3;
insert;8300;17287575;17299293;14.663;10414.2;10421.3;
insert;8400;17693601;17705517;13.4499;10531.9;10539;
insert;8500;18028015;18040128;12.2946;10604.7;10611.8;
insert;8600;18485193;18497503;13.274;10747.2;10754.4;
insert;8700;18883576;18896104;13.3715;10852.6;10859.8;
insert;8800;19253874;19266517;12.8995;10939.7;10946.9;
insert;8900;19863012;19875864;15.7963;11159;11166.2;
insert;9000;20352884;20365911;16.9266;11307.2;11314.4;
insert;9100;20771968;20785222;17.4792;11413.2;11420.5;
insert;9200;21136999;21150397;17.7936;11487.5;11494.8;
insert;9300;21672077;21685708;18.0183;11651.7;11659;
insert;9400;22166325;22180133;15.5964;11790.6;11797.9;
insert;9500;22578142;22592130;16.637;11883.2;11890.6;
insert;9600;22963207;22977428;15.8366;11960;11967.4;
insert;9700;23456092;23470539;17.889;12090.8;12098.2;
insert;9800;24054441;24069039;17.9417;12272.7;12280.1;
insert;9900;24547468;24562285;20.2019;12397.7;12405.2;
insert;10000;24984644;24999640;21.0132;12492.3;12499.8;
