n;compares;time;
1000;10;4e-06;
2000;10;2e-06;
3000;9;2e-06;
4000;12;2e-06;
5000;13;2e-06;
6000;13;2e-06;
7000;11;3e-06;
8000;13;2e-06;
9000;12;3e-06;
10000;13;3e-06;
11000;11;3e-06;
12000;13;2e-06;
13000;13;3e-06;
14000;12;2e-06;
15000;14;3e-06;
16000;13;3e-06;
17000;14;3e-06;
18000;11;2e-06;
19000;14;3e-06;
20000;14;3e-06;
21000;14;2e-06;
22000;15;3e-06;
23000;15;3e-06;
24000;15;3e-06;
25000;13;2e-06;
26000;15;2e-06;
27000;12;3e-06;
28000;14;3e-06;
29000;14;2e-06;
30000;12;3e-06;
31000;15;2e-06;
32000;14;2e-06;
33000;15;2e-06;
34000;15;2e-06;
35000;14;2e-06;
36000;15;2e-06;
37000;14;1e-06;
38000;15;1e-06;
39000;16;1e-06;
40000;16;2e-06;
41000;14;1e-06;
42000;13;2e-06;
43000;13;1e-06;
44000;15;1e-06;
45000;14;2e-06;
46000;14;2e-06;
47000;15;1e-06;
48000;15;2e-06;
49000;13;2e-06;
50000;16;1e-06;
51000;13;1e-06;
52000;15;1e-06;
53000;15;2e-06;
54000;13;1e-06;
55000;14;1e-06;
56000;16;1e-06;
57000;15;2e-06;
58000;15;2e-06;
59000;15;1e-06;
60000;15;2e-06;
61000;16;2e-06;
62000;16;2e-06;
63000;15;2e-06;
64000;16;1e-06;
65000;16;2e-06;
66000;15;1e-06;
67000;15;1e-06;
68000;15;2e-06;
69000;16;1e-06;
70000;13;1e-06;
71000;15;1e-06;
72000;15;2e-06;
73000;15;1e-06;
74000;16;1e-06;
75000;16;2e-06;
76000;16;1e-06;
77000;15;2e-06;
78000;16;1e-06;
79000;17;1e-06;
80000;16;1e-06;
81000;16;1e-06;
82000;16;1e-06;
83000;12;1e-06;
84000;17;1e-06;
85000;13;1e-06;
86000;16;0;
87000;15;1e-06;
88000;16;1e-06;
89000;17;1e-06;
90000;16;1e-06;
91000;14;1e-06;
92000;13;1e-06;
93000;14;1e-06;
94000;16;1e-06;
95000;16;1e-06;
96000;16;1e-06;
97000;16;1e-06;
98000;16;1e-06;
99000;11;1e-06;
100000;17;5e-06;
